Story #,Title,Story Text,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5
71,The Man’s Fate 71,"A man planted a clock in the soil.
It grew into a tree of ticking fruit.
He ate one apple and lived the same day again.
Forever.",What happens at the beginning of story 71?,A man planted a clock in the soil,What is the key event in story 71?,It grew into a tree of ticking fruit,What surprising moment occurs in story 71?,He ate one apple and lived the same day again,What happens near the end of story 71?,Forever.,What is the overall theme of story 71?,Forever.
72,A Child’s Wish 72,"A child drew maps of places unknown.
Explorers followed them and found treasures.
One day, she drew a blank page.
The world discovered a new continent.",What happens at the beginning of story 72?,A child drew maps of places unknown,What is the key event in story 72?,Explorers followed them and found treasures,What surprising moment occurs in story 72?,"One day, she drew a blank page",What happens near the end of story 72?,The world discovered a new continent.,What is the overall theme of story 72?,The world discovered a new continent.
73,The Man’s Fate 73,"A fisherman caught a star in his net.
It begged to be released.
He let it go, and it returned every night to guide him home.
He never got lost again.",What happens at the beginning of story 73?,A fisherman caught a star in his net,What is the key event in story 73?,It begged to be released,What surprising moment occurs in story 73?,"He let it go, and it returned every night to guide him home",What happens near the end of story 73?,He never got lost again.,What is the overall theme of story 73?,He never got lost again.
74,The Man’s Fate 74,"A woman whispered to books in a library.
The books whispered back.
They told her stories no one had written yet.
She became the author of them all.",What happens at the beginning of story 74?,A woman whispered to books in a library,What is the key event in story 74?,The books whispered back,What surprising moment occurs in story 74?,They told her stories no one had written yet,What happens near the end of story 74?,She became the author of them all.,What is the overall theme of story 74?,She became the author of them all.
75,The Boy’s Journey 75,"A boy sang in an empty well.
His voice echoed with another’s song.
He returned every day to duet with the unknown.
Until one day, the voice sang alone.",What happens at the beginning of story 75?,A boy sang in an empty well,What is the key event in story 75?,His voice echoed with another’s song,What surprising moment occurs in story 75?,He returned every day to duet with the unknown,What happens near the end of story 75?,"Until one day, the voice sang alone.",What is the overall theme of story 75?,"Until one day, the voice sang alone."
76,Mystery Tale 76,"A traveler carried a lantern with no flame.
It glowed only in darkness.
When he dropped it, the night swallowed him.
The lantern was never seen again.",What happens at the beginning of story 76?,A traveler carried a lantern with no flame,What is the key event in story 76?,It glowed only in darkness,What surprising moment occurs in story 76?,"When he dropped it, the night swallowed him",What happens near the end of story 76?,The lantern was never seen again.,What is the overall theme of story 76?,The lantern was never seen again.
77,The Girl’s Secret 77,"A girl collected raindrops on her hands.
Each one turned into a crystal.
She built a palace of them.
But when the sun came, it melted away.",What happens at the beginning of story 77?,A girl collected raindrops on her hands,What is the key event in story 77?,Each one turned into a crystal,What surprising moment occurs in story 77?,She built a palace of them,What happens near the end of story 77?,"But when the sun came, it melted away.",What is the overall theme of story 77?,"But when the sun came, it melted away."
78,The Man’s Fate 78,"A man woke up with wings of glass.
They sparkled in the sunlight.
He tried to fly, but they shattered.
He never left the ground again.",What happens at the beginning of story 78?,A man woke up with wings of glass,What is the key event in story 78?,They sparkled in the sunlight,What surprising moment occurs in story 78?,"He tried to fly, but they shattered",What happens near the end of story 78?,He never left the ground again.,What is the overall theme of story 78?,He never left the ground again.
79,The Girl’s Secret 79,"A girl owned a cat that spoke only at midnight.
It told her where to find lost things.
One night, it said, “I am lost too.”
And it vanished.",What happens at the beginning of story 79?,A girl owned a cat that spoke only at midnight,What is the key event in story 79?,It told her where to find lost things,What surprising moment occurs in story 79?,"One night, it said, “I am lost too.” And it vanished.",What happens near the end of story 79?,"One night, it said, “I am lost too.” And it vanished.",What is the overall theme of story 79?,"One night, it said, “I am lost too.” And it vanished."
80,The Boy’s Journey 80,"A boy played chess with the wind.
The pieces moved themselves.
He lost every game.
Until one day, the wind refused to play.",What happens at the beginning of story 80?,A boy played chess with the wind,What is the key event in story 80?,The pieces moved themselves,What surprising moment occurs in story 80?,He lost every game,What happens near the end of story 80?,"Until one day, the wind refused to play.",What is the overall theme of story 80?,"Until one day, the wind refused to play."
81,Mystery Tale 81,"A baker created cakes that held dreams.
People ate them and lived the lives they wanted.
One day, no one woke up.
And the baker was alone.",What happens at the beginning of story 81?,A baker created cakes that held dreams,What is the key event in story 81?,People ate them and lived the lives they wanted,What surprising moment occurs in story 81?,"One day, no one woke up",What happens near the end of story 81?,And the baker was alone.,What is the overall theme of story 81?,And the baker was alone.
